Review,date,Location
"The hotel was adequate for my stay. The strips in the bathtub were useless as I fell while taking a shower. I asked the front desk staff several times to get a bath mat but they never did. Management was unresponsive to my request which was very poor; someone should have gone to a dollar store and gotten a bath mat. Breakfast was good but it would have been nice to have had yogurt and/or cottage cheese on the buffet.
  
  Read more
  Read less",2019-08-20,
"All the options for fun were great! Do wish there were a better policy on the lazy river floats. Lots of people
 Hoarding them.
  
  Read more
  Read less",2019-08-19,
"Old. Musty. Motel. 
 Bath need an update asap
 !!!!!!
  
  Read more
  Read less",2019-08-19,
"Loved the layout of the hotel and the relaxing pool area.
 Only con was housekeeping/maintenance staff passing the room with carts and speaking loudly on radios at 7-7:30 am.
  
  Read more
  Read less",2019-08-19,
"My wife and I loved everything about it. It�s close to everything and everywhere. 
 We will be recommending to others and we will definitely be back.
  
  Read more
  Read less",2019-08-19,
"rooms were very small, was told i had a complimentary upgrade to a empire state building view room but it was a regular room, everything else was ok.
  
  Read more
  Read less",2019-08-19,
"Nice and comfortable good position near the station and the subway
  
  Read more
  Read less",2019-08-19,
"Location was great, lobby area was nice but room needs to be upgraded
  
  Read more
  Read less",2019-08-19,
"Quiet and at a great location. 
 Good control at entrance to elevators.
  
  Read more
  Read less",2019-08-19,
"El servicio super amables no todos en el buffet todos supur amablea creo que ellos marcan la diferencia hacen que tu mal momento en el lobby se olvide
  
  Read more
  Read less",2019-08-19,
"Rooms were clean, updated, and beds were comfortable.
  
  Read more
  Read less",2019-08-19,
"The staff was exceptionally helpful and the property wasclose to dining and shopping ad well as Dineyland. We had a bery restful stay there abd look forward to staying there in the future.
  
  Read more
  Read less",2019-08-19,
"It was great for what we needed, a place to sleep. Parking was 20 a day, which isn�t too bad for that area. We were on the floor that the pool was located on, so there was a constant flow of loud people storming down the hallway. Poorly set up, since that is the only way to the pool. They probably put us there since we used a third party booking site.
  
  Read more
  Read less",2019-08-19,
"rooms were clean. we had two room and were able to get it right across from each other. Location was very close to john wayne airport and only 12 mile from Disneyland!!! we were there in 15 mins in a car ride. shuttle servise to nearby restaurants were available and convenient, also to the airport.
  
  Read more
  Read less",2019-08-19,
"A little off the beaten path, but ultimately places you at a reasonably central location (Buena Vista). Everything clean and functional, covered parking (garage with access). Roomy, good beds, friendly staff, tho didn't have time to sample amenities nor did we have any special requests or concerns.
  
  Read more
  Read less",2019-08-18,
"The room is tiny. The building is old and worn on inside. Needs updating. The walls are thin. The bathroom needs updating. Flooring is worn and ripping. Staff wasn�t the friendliest. Plan on walking 25 minutes to time square. Security was the only good thing with this hotel. Be prepared they add on fees if you purchase through Expedia. They call it resort fees. Why, I have no idea. It�s not a resort.
  
  Read more
  Read less",2019-08-18,
"Awesome location, easy access to sights and subway.
  
  Read more
  Read less",2019-08-18,
"????????????
 ??????????????????????????????????
 ???????????????????????????
 ??????????????????????????????
  
  Read more
  Read less",2019-08-18,
"Great location and friendly staff. Room with enough space.
  
  Read more
  Read less",2019-08-18,
"Real nice love to go back soon 
 I will recommend family and friends
  
  Read more
  Read less",2019-08-17,
"Beautiful hotel. Friendly, helpful staff. Walking distance to light rail. Uneasy about homeless encampment in the empty lot behind the hotel on the way to the light rail.
  
  Read more
  Read less",2019-08-17,
"Beautiful Art Deco building, Foyer is very ornate and stylish
  
  Read more
  Read less",2019-08-17,
"Really close to job interview. Nice morning breakfast at location across the street that has some affiliation with the hotel. Nice guests!
  
  Read more
  Read less",2019-08-17,
"Rooms very dirty and aged. Breakfast was of poor quality and limited choices
  
  Read more
  Read less",2019-08-17,
"I have stayed for 5 nights, Great service, affordable price.
  
  Read more
  Read less",2019-08-17,
"The staff is excellent here. This is always my first choice when I look to stay in Orlando. Have stayed here every year for the past 8 years. It is perfectly situated on International Dr. The grounds are beautiful and I always feel safe. I would rate this property 10 out of 10.
 Jennifer on the front desk was very friendly and helpful. 
 I will be back next year.
  
  Read more
  Read less",2019-08-17,
"It was fine
 Sink needed to be wiped down. Stains on comforter
  
  Read more
  Read less",2019-08-16,
"Was a great place, the room had ants but that comes with outside doors. lobby service was great though
  
  Read more
  Read less",2019-08-16,
"Location was around the transportation system .near main attraction within the city .Good friendly staff. Will visit again.clean rooms
  
  Read more
  Read less",2019-08-15,
"Good value. We enjoyed our 4 day stay. Bicely appointed room.
  
  Read more
  Read less",2019-08-15,
"The rooms was clean and i love they make breakfast sandwiches 2 for 6.00...
  
  Read more
  Read less",2019-08-15,
"Loved the price, location to the parks and the shuttle.
  
  Read more
  Read less",2019-08-14,
"El aire acondicionado goteaba y la alfombra estaba empapada y con humedad
  
  Read more
  Read less",2019-08-14,
"I liked that the staff was very nice and the place is very clean. I will be going back there very soon. The pool was very clean and you can go to other pools in the resort. Only minutes away from Magic Kingdom.
  
  Read more
  Read less",2019-08-13,
"Great price and lots to do. Clean,hospitality was great. Convenient to all the parks.
  
  Read more
  Read less",2019-08-13,
"Very smooth stay. We'll surely coming back to this hotel. Highly recommended
  
  Read more
  Read less",2019-08-13,
"Excellent location, and great service.i highly recommended New Yorker Hotel at winham
  
  Read more
  Read less",2019-08-13,
"comodo per la posizione ma hotel fatiscente, camera e bagno troppo piccoli e la quarta stella gliel hanno regalata!
  
  Read more
  Read less",2019-08-13,
"The rooms are terribly small, almost claustrophobic.
 Ice machine was hard to find.
 And attitude at the front desks
  
  Read more
  Read less",2019-08-13,
"Does well what you expect it to. Comfy bed. Clean modern bathroom. Reasonably well sound-insulated rooms. Very good value at a great outer borough location. Unexpectedly nice shops and restaurants within walking distance.
  
  Read more
  Read less",2019-08-13,
"I stayed here for 2 nights. This place is walk-able to Disneyland and very convenient. It has underground gated car parking. Staff was very courteous.
  
  Read more
  Read less",2019-08-13,
"The pool was nice but the staff was rude and we could not get our room clean
  
  Read more
  Read less",2019-08-12,
