Review,Sentiment,Confidence Score,Emotion1,Emotion_conf1,Emotion2,Emotion_conf2,date,Location
"I was very impressed with the resort.
 Great staff at the main resort pool bar! We had a blast with them.
 Clean, professional staff, great location and very reasonable!
  
  Read more
  Read less",POSITIVE,0.999448657,satisfied,0.555492699,upset,0.217103079,20-08-2019,Sebastian
"The rooms were nice the outside needs work also no free breakfast it would have been nice overall it was ok
  
  Read more
  Read less",NEGATIVE,0.993440568,upset,0.72278291,anger,0.146602437,20-08-2019,Los Angeles
"Great location! I have stayed at this hotel on my last three trips to New York.
  
  Read more
  Read less",NEGATIVE,0.920559645,upset,0.696024835,satisfied,0.107861474,20-08-2019,Georgia
"Great location, room was large and spacious. Parking was easy and we appreciated the friendly staff
  
  Read more
  Read less",POSITIVE,0.997534513,satisfied,0.36887446,upset,0.323523045,19-08-2019,Palm Harbor
"Very clean and friendly and I love the location The restaurant that is inside was excellent for food and service the bathrooms are a little small because they�re vintage but overall I would definitely stay again
  
  Read more
  Read less",POSITIVE,0.991725504,satisfied,0.365838885,happy,0.272569537,19-08-2019,California
"Very nice and quiet and clean rooms. 
 We will return when back in the area.
  
  Read more
  Read less",POSITIVE,0.957092881,upset,0.423767418,anger,0.242983893,19-08-2019,Redding
"The room did not seem clean. There was some sort of orange sticky glop on the bathroom counter. And the travel size lotion they provided was already empty. I liked that you could text the valet and they had your car waiting.
  
  Read more
  Read less",NEGATIVE,0.999710202,upset,0.633781254,anger,0.163878664,18-08-2019,Jacksonville
"En general excelente. Fant�stica situaci�n
 Dos pegas importantes para m�:
 25 dolares por guardar mis maletas 3 horas en la salida
 No habia nevera ni calentador de agua en la habitaci�n, los solicite y me. ofrecieron ponerlos con cargo.
  
  Read more
  Read less",NEGATIVE,0.99445653,upset,0.610765934,satisfied,0.218030572,17-08-2019,Espa�a
"Les chambres familiales sont pratiques (nous �tions 7 et c'est agr�able d'�tre tous ensemble). Cependant, le personnel est ex�crable ! L'individu � l�accueil s'est permis de dire � mon mari qu'il �tait ""trop lent"" lors de l'enregistrement ... c'est inacceptable ! De plus, la climatisation est extr�mement bruyante, plusieurs d'entre nous ont eu beaucoup de difficult� � dormir.
  
  Read more
  Read less",NEGATIVE,0.992238581,upset,0.902553439,anger,0.065276057,17-08-2019,Montr�al
"Enjoyed our stay! Staff was welcoming and friendly. Chose this location for a weekend with my friends. When booking this room I requested a rollaway bed. When I called the front desk about the extra bed I requested, it was explained to me since we have two beds they could not accommodate us with a rollaway. Why give that an option during booking but not available during the stay? Overall it was a nice experience. 
  
  Read more
  Read less",POSITIVE,0.997051656,happy,0.370821685,upset,0.330635875,16-08-2019,La quinta
"Well kept up, but where was my complimentary breakfast ??????
  
  Read more
  Read less",NEGATIVE,0.96217078,upset,0.869102716,anger,0.097993575,15-08-2019,Seattle
"propret� impeccable. chambre refaite tous les jours.
  
  Read more
  Read less",POSITIVE,0.924914956,satisfied,0.873248875,upset,0.068390444,15-08-2019,savasse France
